Tên kỳ;Số mắc mới trong ngày;Số mắc tích lũy;Cách ly tập trung;Cách ly tại nhà;Lấy mẫu xét nghiệm;Người về tỉnh
4/4/2021 0:00;0;0;0;0;0;0
5/4/2021 0:00;0;0;0;0;0;0
6/4/2021 0:00;0;0;0;0;0;0
7/4/2021 0:00;0;0;0;0;0;0
8/4/2021 0:00;0;0;0;0;0;0
9/4/2021 0:00;0;0;0;0;0;0
10/4/2021 0:00;0;0;0;0;0;0
11/4/2021 0:00;0;0;0;0;0;0
12/4/2021 0:00;0;0;0;0;0;0
13/04/2021 0:00;0;0;0;0;0;0
14/04/2021 0:00;0;0;0;0;0;0
15/04/2021 0:00;0;0;0;0;0;0
16/04/2021 0:00;0;0;0;0;0;0
17/04/2021 0:00;0;0;0;0;0;0
18/04/2021 0:00;0;0;0;0;0;0
19/04/2021 0:00;0;0;0;0;0;0
20/04/2021 0:00;0;0;0;0;0;0
21/04/2021 0:00;0;0;0;0;0;0
22/04/2021 0:00;0;0;0;0;0;0
23/04/2021 0:00;0;0;0;0;0;0
24/04/2021 0:00;0;0;0;0;0;0
25/04/2021 0:00;0;0;0;0;0;0
26/04/2021 0:00;0;0;0;0;0;0
27/04/2021 0:00;0;0;0;0;0;0
28/04/2021 0:00;0;0;0;0;0;0
29/04/2021 0:00;0;0;0;0;0;0
30/04/2021 0:00;0;0;0;0;0;0
1/5/2021 0:00;0;0;0;0;0;0
2/5/2021 0:00;0;0;0;0;0;0
3/5/2021 0:00;0;0;0;0;0;0
4/5/2021 0:00;0;0;0;0;0;0
5/5/2021 0:00;0;0;0;0;0;0
6/5/2021 0:00;0;0;0;0;0;0
7/5/2021 0:00;0;0;0;0;0;0
8/5/2021 0:00;0;0;0;0;0;0
9/5/2021 0:00;0;0;0;0;0;0
10/5/2021 0:00;0;0;0;0;0;0
11/5/2021 0:00;0;0;0;0;0;0
12/5/2021 0:00;0;0;0;0;0;0
13/05/2021 0:00;0;0;0;0;0;0
14/05/2021 0:00;0;0;0;0;0;0
15/05/2021 0:00;0;0;0;0;0;0
16/05/2021 0:00;0;0;0;0;0;0
17/05/2021 0:00;0;0;0;0;0;0
18/05/2021 0:00;0;0;0;0;0;0
19/05/2021 0:00;0;0;0;0;0;0
20/05/2021 0:00;0;0;0;0;0;0
21/05/2021 0:00;0;0;0;0;0;0
22/05/2021 0:00;0;0;0;0;0;0
23/05/2021 0:00;0;0;0;0;0;0
24/05/2021 0:00;0;0;0;0;0;0
25/05/2021 0:00;0;0;0;0;0;0
26/05/2021 0:00;0;0;0;0;0;0
27/05/2021 0:00;0;0;0;0;0;0
28/05/2021 0:00;0;0;0;0;0;0
29/05/2021 0:00;0;0;0;0;0;0
30/05/2021 0:00;0;0;0;0;0;0
31/05/2021 0:00;0;0;0;0;0;0
1/6/2021 0:00;0;0;0;0;0;0
2/6/2021 0:00;0;0;0;0;0;0
3/6/2021 0:00;0;0;0;0;0;0
4/6/2021 0:00;0;0;0;0;0;0
5/6/2021 0:00;0;0;0;0;0;0
6/6/2021 0:00;0;0;0;0;0;0
7/6/2021 0:00;0;0;0;0;0;0
8/6/2021 0:00;0;0;0;0;0;0
9/6/2021 0:00;0;0;0;0;0;0
10/6/2021 0:00;0;0;0;0;0;0
11/6/2021 0:00;0;0;0;0;0;0
12/6/2021 0:00;0;0;0;0;0;0
13/06/2021 0:00;0;0;0;0;0;0
14/06/2021 0:00;0;0;0;0;0;0
15/06/2021 0:00;0;0;0;0;0;0
16/06/2021 0:00;0;0;0;0;0;0
17/06/2021 0:00;0;0;0;0;0;0
18/06/2021 0:00;0;0;0;0;0;0
19/06/2021 0:00;0;0;0;0;0;0
20/06/2021 0:00;0;0;0;0;0;0
21/06/2021 0:00;0;0;0;0;0;0
22/06/2021 0:00;0;0;0;0;0;0
23/06/2021 0:00;0;0;0;0;0;0
24/06/2021 0:00;0;0;0;0;0;0
25/06/2021 0:00;0;0;0;0;0;0
26/06/2021 0:00;0;0;0;0;0;0
27/06/2021 0:00;0;0;0;0;0;0
28/06/2021 0:00;0;0;0;0;0;0
29/06/2021 0:00;0;0;0;0;0;0
30/06/2021 0:00;0;0;0;0;0;0
1/7/2021 0:00;0;0;0;0;0;0
2/7/2021 0:00;0;0;0;0;0;0
3/7/2021 0:00;0;0;0;0;0;0
4/7/2021 0:00;0;0;0;0;0;0
5/7/2021 0:00;0;0;0;0;0;0
6/7/2021 0:00;0;0;0;0;0;0
7/7/2021 0:00;0;0;0;0;0;0
8/7/2021 0:00;0;0;0;0;0;0
9/7/2021 0:00;0;0;0;0;0;0
10/7/2021 0:00;0;0;0;0;0;0
11/7/2021 0:00;0;0;0;0;0;0
12/7/2021 0:00;0;0;0;0;0;0
13/07/2021 0:00;0;0;0;0;0;0
14/07/2021 0:00;0;0;0;0;0;0
15/07/2021 0:00;0;0;0;0;0;0
16/07/2021 0:00;0;0;0;0;0;0
17/07/2021 0:00;0;0;0;0;0;0
18/07/2021 0:00;0;0;0;0;0;0
19/07/2021 0:00;0;0;0;0;0;0
20/07/2021 0:00;2;2;0;0;65;0
21/07/2021 0:00;0;2;0;0;343;0
22/07/2021 0:00;1;3;0;0;163;0
23/07/2021 0:00;1;4;0;0;935;0
24/07/2021 0:00;0;4;0;0;0;0
25/07/2021 0:00;0;4;0;0;245;0
26/07/2021 0:00;0;4;0;0;116;0
27/07/2021 0:00;2;6;0;0;435;0
28/07/2021 0:00;0;6;144;10;103;4730
29/07/2021 0:00;0;6;244;3;306;4482
30/07/2021 0:00;0;6;212;53;295;986
31/07/2021 0:00;1;7;32;29;152;2338
1/8/2021 0:00;7;14;157;165;503;1185
2/8/2021 0:00;1;15;236;33;122;3187
3/8/2021 0:00;3;18;87;11;122;602
4/8/2021 0:00;;;;;;
5/8/2021 0:00;;;;;;
6/8/2021 0:00;;;;;;
7/8/2021 0:00;;;;;;
8/8/2021 0:00;;;;;;
